Title,Title_URL,Image,bigqs_URL,bigqs,bigqs1,iugum,bigqs2,rpecd,jguwg_spancontainsclass_ycete,bigqs3,bigqs4
,,,,,"Anderson, SC",104 contributions,0,Oct 2018,"Dublin to Galway,on time,clean helpful staff. Make sure you reserve your seats can be very crowed especially during commute time",Written 28 October 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Buckhorn, Canada",332 contributions,0,Sep 2018 • Business,"Everything you can ask for in train service. On time, food and reserved seats.

Traveled from Dublin to Galway and the seats are comfortable and food service come right to seat. Some people are confused with reserved seating so make sure you do not sit in a seat that has a name or number on digital display above seat.

Excellent price as well!",Written 21 October 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",21 contributions,0,Oct 2018 • Couples,"The intercity city service Dublin Cork is punctual and takes about 2 and a half hours
Our train was quite full and initially there was some confusion regarding booked or reserved seats
Some passengers were unaware that the seat they sat in had been reserved
Maybe. A simpler to understand system might help
Otherwise a very pleasant journey",Written 20 October 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,calgary,37 contributions,0,Sep 2018,"We took the train from Athlone to Dublin in September 2018. We were able to park at the train station for the entire day for around 5Euros. The train is clean, fast and efficient and a lot easier than driving into Dublin.",Written 9 October 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Los Angeles, CA",44 contributions,0,Sep 2018 • Solo,"Took the train from Rosslare up to Dublin. Pre-booked the ticket online and had to print it at the station. That wasn't an issue for me, however, there was an older gentleman who had a bit of trouble working the machine at the station I was at. Thankfully a couple of us that were waiting for the train were able to help him, though an attendant might have made it less problematic for him.

The actual train ride was pleasant enough, and the trolly service was good. There was only a slight delay once we were on our way due to a train before us so, I did arrive at my destination a little later than expected but other than that, there were no major issues.",Written 4 October 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,40 contributions,,0,Sep 2018 • Couples,"Took the 9.40am train from Portlaoise to Cork on Sept 25th. The train was on time & was clean & comfortable along with being quite busy.
My main gripe was that of the young lady who was manning the catering trolly during the journey. Apart from looking like she had just dressed having gotten straight out of bed, an iron most definitely was not used on her uniform, all be it her ""boss"" obviously had no issue with this!
In general, she was rude, displayed no customer service skills or interest in customer satisfaction & generally let all her colleagues down with her appalling attitude. Perhaps her direct superior should also take note.
However on the 17.20 pm return a most friendly, caring, mannerly girl manned the trolly & was a credit to Irish Rail. Both girls wore name badges but I failed to note their names.
If reviewing the 2nd journey it would have been 5 out of 5 but because of the 1st encounter than I feel the customer service on offer was of a very poor standard as a result of the rudeness & abrupt manner of one young lady who obviously was not being trained or monitored properly.",Written 28 September 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Brampton, Canada",23 contributions,3,Sep 2018 • Couples,"Very similar experience as the last three entries. Issues with booking on my iPad, would enter information several times, it would disappear after completing several screens of application. Many stations did not have employees present, just ticket machines, and most ticket machines could only be used to purchase tickets for the current day. Had issues again at the end of our trip when we were in Galway; walked to the station to purchase in person, sign said someone would be there at 12:30, came back at 12:30 and no one was there, came back later in afternoon and employee said to book online and she gave me a small slip of paper with website (which I already knew about) and a phone number to call for trouble shooting which worked Monday-Friday business hours and thus shut down for evening.This employee couldn’t take the time to help. SHOCKING! Luckily a hotel employee encouraged us to try express coach, which was easy, cheaper, convenient, very comfortable and fast! Lesson learned, sadly.",Written 20 September 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cork, Ireland",38 contributions,1,Sep 2018 • Business,"Site did not work on my iPad. On iPhone it does load but had to enter all data three times before abandoning. Having entered credit card details and pressed pay it reverted to opening page, all details lost. Will use Aircoach. Typical mollycoddled state enterprise of the kind prevalent in Eastern Europe in the 80's.",Written 13 September 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",99 contributions,2,Sep 2018 • Business,"The service provide by Irish Rail can only be described as pathetic. Trains are never on time, they can not put together a decent timetable. Despite they charge an absolute fortune for this mickey mouse service, they invest absolutely no money on their network (two set of rails) but if you talk to their senior management they would tell you that they are brilliant. I would be curious to see how much these people are paid to carry out a job that a trained monkey would probably do better.",Written 11 September 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,3,Sep 2018 • Business,Late most of the time. Unreliable and unprepared. No security and too expensive for what it is. Simply awful. If we're being encouraged by the government to use public transport there should be more pros than cons but there isn't.,Written 10 September 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",10 contributions,0,Aug 2018 • Business,Service ran on time.  The wifi is slow bus usable and there are plugs at all seats that have a table.  Some of the carriages are showing wear and tear but for the most part runs on time and is comfortable,Written 30 August 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Carrum Downs, Australia",25 contributions,0,Aug 2018 • Friends,Great trip clean comfortable carriage plenty of space easy on easy off great relaxed way to travel. Staff very friendly. Stations easy to negotiate also,Written 27 August 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Lancaster, CA",277 contributions,1,Aug 2018 • Couples,"When you see the volume of people through this station you would think they would quickly realize they don’t have enough WC (restrooms for those of you that don’t travel Europe).  Other than that the that the stations seem to be very well designed, and operated.",Written 27 August 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"County Galway, Ireland",1 contribution,1,Aug 2018 • Couples,Man checking tickets was very rude and didn’t want to listen to us. Had a student card but it was older than 4 years and refused us getting on till we paid for an adult ticket although we were still in college and just repeated a year.,Written 11 August 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Ireland,47 contributions,0,Jul 2018 • Family,We recently went from Cork to Dublin on Irish Rail. Although the train was very busy our seats were extremely comfortable and the staff were extremely friendly. We had breakfast on the train as it departed at 7 am and we were very impressed by the quality and service of the food. It was definitely worth a little extra to go first class. I would highly recommend first class on Irish Rail.,Written 31 July 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dromcollogher, Ireland",98 contributions,0,Jul 2018 • Family,"Punctual, efficient and many train times makes irish rail a great way to go on day trips between all major cities in ireland. The only negative I find is the high prices charged for the trolley snack service.  €2.25 for a bottle of water is too much.",Written 26 July 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",19 contributions,1,Jun 2018 • Friends,"We booked our train online in advance and picked our seat - the train had our seats with our name written above them electronically in advance! We got to galway and back with no delays and the train ride was really comfortable - while the free wifi was slow, it was there which was nice!",Written 4 July 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Western Ireland, Ireland",3 contributions,4,Jul 2018 • Friends,"I got the train to Dublin from Galway with friends for a game in croke park. Tea/coffee trolley didn't go through the carriages at all due to people sitting on the floor. When we found the trolley still in carriage A, they were out of tea bags. The toilets were extremely dirty, blocked and paper all over the floor. Waste of money. ",Written 1 July 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",653 contributions,3,Jun 2018 • Solo,I travelled on the Dublin to Galway train last week from Heuston Station and back again today. On both occasions the trains weren’t cleaned properly and the toilet facilities were poor. A mediocre service. ,Written 28 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Philadelphia, PA",447 contributions,1,Jun 2018 • Family,"As a U.S. resident who really doesn't want to worry about driving on the left in current or former British territories, I often seek out alternatives which can sometimes involve expensive car hires or guides.  Irish Rail did the trick for most of our recent travel in Ireland -- and saved us lots of cash, too.We actually took another rail line from Belfast to Dublin, but used Irish rail to go from Dublin to Cork and later, from Galway to Dublin.  We also took a commuter line from Cork to Cohb and back.  In all cases, the trains were on time, clean and I loved the online booking option where you could reserve your seats and even have your names listed above them to make it extra easy to find them.  This was an extremely affordable and efficient way to get around Ireland. We also found the train stations easy to negotiate.  One note.  Keep your ticket after using it to board.  We were surprised to find that in some stations, they wanted us to produce the tickets a second time to exit (fortunately, I had not thrown them away!).Free charging stations at the seats for phones was great!Also, at the Heuston Station in Dublin, the taxi stand is not overly well marked.  It's to the right after you exit the train platform on the north side of the station.  A steady stream of cabs was there, though, once we found it.  Thank to the local man who happily pointed us in the right direction.",Written 18 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",145 contributions,1,Jun 2018 • Solo,"I live in Waterford and use the train almost daily to and from Dublin. Waterford has this wonderful access to the Greenway cycle path to Dungarvin. A regular tourist attraction.
The only problem is is that Irish rail lets it all down, only 4 bike slots on the trains from Dublin and then I think the fee is 8€ to put the bike on the train.
Wouldn't it be great to see a good old box car service accommodating say 20 or so bikes.
An lets face it it is not just the tourists taking bikes, there is more and more daily commuters bring their bikes on the trains.

Come on Irish Rail - do you bit and keep up with the times.",Written 12 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Perth, Australia",44 contributions,0,Jun 2018 • Solo,Travelled from Dublin to Belfast return. I paid for first class on the way back however I wouldn't recommend the extra that was charged for the ticket. The only extra I received was a free cup of juice and the seats I believe were much the same as economy. I was also told that there was no hot food on the 8.15pm return trip when I boarded which was a letdown as I had been travelling all day.,Written 11 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Buckhorn, Canada",332 contributions,0,May 2018 • Couples,"Wife and I decide to try the train system during our stay and traveled to Malahide and howth for the day. Train station was easy walk from westbury and all trains were on time.

Stops are well labeled and we jump off in Malahide but caught the howth train back home for small extra fee.

Trains are always on time, clean stations with food and coffee options.

You can buy your tickets from machine with credit card or online. Nice app shows train schedule on iPhone.",Written 9 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Mumbai,390 contributions,0,May 2018 • Family,"Was pleasantly surprised to see how efficient and user friendly Irish Rail was. we did a smaller journey from Cork to Cobh and that was a cute lil train. the ride to Dublin was on an intercity express type train and this was clean, had good wifi, seats were marked with names so all in all a great experience",Written 7 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,ireland,102 contributions,2,Jun 2018 • Friends,Traveled on the 23'37 train from Connelly to Dundalk after the Ireland v U S A game it was nothing short of horrific we were packed on like sardines . Horrendous to say the least . Is there  no such thing as crowd control loud and aggressive beer carrying louts does no officials see any if this going on. God help us if someone had taken ill are worse still attacked with a glass. Is there no such thing as safety in numbers. My Question why can't an extra train be put on at weekends when most weekends in Dublin there are events. Totally discusted  . . . ,Written 4 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Navan, Ireland",53 contributions,0,Jun 2018 • Couples,Got the train from dublin to belfast.  It was a enterprise train. We booked first class. What a treat. Service was great. Seats so comfy and train was spotless. Staff throughout the journey were superb. The train was on time going but 6 minutes late leaving belfast but made it's time up on route. Much better than driving. Do relaxing and could even have a drink on board  ,Written 2 June 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",25 contributions,1,May 2018 • Solo,"Irish Rail suffers from being very inconsistent.

When they run well they are fine, but they are woeful at handling disruption.

Poor announcements and inaccurate details, last minute changes of platforms that are nt announced.

Could do with more customer focus.",Written 17 May 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",32 contributions,0,May 2018 • Couples,went to belfast 7/05/18 11 20 from connolly 1st class it was a lovely trip staff were very pleasant and very helpful on the outward journey we were given hot towels and chocolates  on the return we were given nothing this is not a complaint just a query,Written 13 May 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Minneapolis, MN",21 contributions,0,May 2018 • Friends,"Irish Rail does a very good job. Traveled from Dublin to Sligo and back, with a stop at Enfield to visit Trim. Comfortable seats. Clean trains. Runs on time. Food trolley available. Reasonably priced. Discovered that buying tickets online and then picking them up at ticket machine at station is lower cost.",Written 9 May 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"York, UK",3 contributions,0,May 2018 • Couples,"I booked the train from Dublin heuston to tralee online. My husband and I have free travel but decided we would buy tickets online and book our seats as the train gets very busy, and sometimes aren't able to get seats together. As we had to change in mallow we got on this train only to discover there wasn't any seat numbers. It was a commuter train which shouldn't be used for this type of journey. The seats were very uncomfortable and hardly any room to move our legs. I think if we are going to be shoved onto this old thing we'll just use our free pass the next time!",Written 8 May 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Spring, TX",66 contributions,0,May 2018 • Couples,Visited the Kent Station in Cork and arrived about 5 minutes before a 625 am train to Killarney. Siobhan the attendant waved us over and told us how to print our tickets. When we accidentally printed the ones for the return journey she still let us through the turnstile and told us to make sure we had the right tickets for the next trip. So friendly and helpful and because of her we made that train and a gorgeous trip to Killarney National Park! ,Written 5 May 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"County Mayo, Ireland",35 contributions,2,Apr 2018 • Family,Train full we were sitting in reserved seats what could possibly go wrong. A male entered the carriage from whom a dreadful odour emanated. After a short time he vomited all over the carriage seat and floor in the opposite seats. This was self induced due to excess alcohol having been consumed. Absolutely horrendous. I asked him to go to the bathroom he didn't but continued vomiting and spitting everywhere. My gripe with Train is I was unable to inform anybody in authority. Dreadful Service having paid a huge amount of money for 2 tickets. We vacated our seats and stood in another carriage for a half hour until seats became available. I did notify a staff member when I alighted at my stop and he dismissed my concerns and needless to say did nothing!!!!!!! Car in future definitely.,Written 29 April 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Western Ireland, Ireland","1,012 contributions",0,Mar 2018 • Business,"Regular traveller to Dublin from West Cork usually driving but i have now resorted to letting the train take the strain! Great way to travel and arrive stress free in Dublin with seemless interchange with the Luas at Heuston and quickly over to our hotel in the city centre. Living in between Cork and Killarney I now find parking the car at the latter is cheaper option for the two or three day trip. Decent on line fare and seat reservation although we have had no difficulty finding seats on board without...wi fi is pretty decent and there are electric points for charging. Pretty good catering on board as well with buffet car and trolley to seat service all reasonably priced.
",Written 30 March 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cork, Ireland",192 contributions,3,Nov 2017 • Solo,I am no stranger to using Iarnród Éireann on my last trip to Dublin after booking flexible student ticket and after boarding the train and then realising there was no space for me as there is no available seats on that train. I decided to come off the train for health and safety reasons as I came towards the gates and decided to tell the man that there was no seats for me and I wanted to take the next train he told me my ticket does not guarantee me a seat on the train. I told him for health and safety reasons if the train was to crash with me standing up would be detrimental. I told him I had no problem reporting this to the transport agency. He told me I could get the next train to Cork if I wish to do so. Expecting people to stand on a train from Cork to Dublin which takes 2 hours and 40 minutes is totally unacceptable an absolutely ridiculous. ,Written 8 March 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Tralee, Ireland",766 contributions,0,Mar 2018 • Friends,"The journey was on-time despite the weather conditions. The train from tralee to mallow was lovely,warm and clean. The train to Dublin was cold. None of the automatic doors worked so it was very drafty along with the little to no heating. The dining car stayed open for the majority of the journey. The taxi ranks are situated right outside the entrance of the station in Dublin.",Written 2 March 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",1 contribution,0,Feb 2018 • Friends,"The cork girls were like, ""come out Dish, it's rag"" and I was like ""actually I wlll ya"".

But would I drive? Ballpark €60 petrol return from Dublin, long drive by MYSELF, and I'd be hangin on the ""ar ais"", so I said I'll google the train price - PLEASANTLY surprised, €30 job cork and back, student like.

Had a dance in secret garden, drank my Danske vodka (mixed with diet coke - RECCOMEND), and then got train back at 11.25am. Sitting on it now, laptop plugged in, lovely view out the window, coffee on the desk.

Thanks Irish rail, nailed it",Written 16 February 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cork, Ireland",10 contributions,0,Feb 2018 • Couples,"Travelled today from Cork to Dublin for the Irish game. It was busy, but I have to say from start to finish the staff in the stations and on board the train were really friendly and had a bit of chat for everyone. It's only small talk but it adds a nice personal touch on the journey. I imagine dealing with that many customers everyday can be quiet challenging but the people I met today were sound. The train was nice and comfortable, there is free WFI, plenty of selection in the shop and the train ran on time. Thank you.",Written 10 February 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Folsom, CA",89 contributions,0,Jan 2018,"We used the Irish rail to get to each city we visited.  It was so easy!  Why rent a car, then try to figure out were to park, when you can hop on a train and relax and enjoy the journey to your next destination.  We loved it!",Written 9 February 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Ireland,232 contributions,2,Feb 2018 • Friends,"Recently travelled on Irish rail with a group of friends up to Dublin.  We booked our tickets a good few weeks in advance and reserved our seats together.  Upon arrival at our departure station, it was announced the train was late, it arrived at the station approx. 1 hour and 10 minutes behind schedule and when the doors opened we literally had to beat ourselves onto it as it was already full to capacity.  There was barely enough standing room for us inside the door and there were still another 2 stops to come!!  We ended up having to stand in between 2 carriages whilst been thrown from left to right with the train movement for appox. one and a half hours.  People could not pass to go to the toilet and the toilet door would not stay closed anyway for those who could climb over luggage and people to get to the toilet.  Absolute disgrace!!",Written 5 February 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Cork,71 contributions,0,Jan 2018 • Solo,"Just travelled on the Cork train and had a really nice food. Croquet monsiur wine and tea.

The last time food was as good was the silver service in the 70s.",Written 23 January 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,37 contributions,,0,Jan 2018 • Solo,Irish rail improving all the time but ticket costs can be very high I would highly recommend buying online early if possible big difference in prices,Written 22 January 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Thurles, Ireland",2 contributions,0,Jan 2018 • Solo,It's getting better but Train prices can be very high if you don't book early so I would highly recommend booking a few days early.,Written 22 January 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,United Kingdom,"20,373 contributions",3,Jan 2018 • Solo,"I have been using Iarnród Éireann for over 30 years, the services are on the whole quite reliable and more comfortable after the introduction of modern train units. My most recent journey was between Dublin Heuston and Portarlington and return where there were a few minor delays but nothing too drastic, train fares are reasonable and represent good value for money and a lot cheaper if tickets are bought in advance.",Written 11 January 2018,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,2,Dec 2017 • Solo,"Recently travelled Lim Junction to Dublin on Citygold. Paid €52.99 for Citygold. Only difference to Standard class was the tea, lamp and the different seating arrangement. DO NOT RECCOMEND!!! much better things to spend the extra money on",Written 30 December 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,2,Dec 2017 • Solo,"Expect to pay outrageous prices for a long and uncomfortable journey. Staff onboard are rude and unprofessional, especially the ticket inspector who seems to have a personel vendetta against everyone. Furthermore, unscheduled delays are common. Would not recommend to anyone. The bus is cheaper and overall a much better experience.",Written 7 December 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"County Limerick, Ireland",45 contributions,3,Dec 2017,Too crowded and what should be the best way to travel is not the case. I parked in the only available parking area ( Limerick junction) and not having any coins tried to use the park by Text facility. I’m already joined and have used it before via mobile. I left my mobile at home and despite my best efforts on the laptop on the train couldn’t pay. On arriving back I’d been clamped and paid €125 for release Not having phone with me I needed to ask the bemused people in the admin office to let me use their phone to call the clampers to let me out.  Irish rail this is not the way to solve your ailing business ,Written 1 December 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,1,Nov 2017 • Business,"I've been using Irish rail for ten years, and the trains, while always messy/stinky, are reasonably on time all things considered.

There must have been some fare evasion at some point, since they started checking tickets as I am getting out of the station. Seems a bit lazy, as I would expect them to actually be in the trains, but that's what they do.

Now today 29th of November 2017, they were there again, checking the tickets just before I go out the station. They always check it, and then immediately tag off the ticket, on the machine, without asking.
So today I asked them if I could please get to tag my own ticket out. I was met with open disdain and an immediate question of ""Why"". So I'm standing there, one customer, having asked a question, that I don't think is rude, and he is there in his uniform, with three extra uniformed guys standing off to the side, laughing/talking to themselves.
I felt very intimidated by this, and was surprised by his tone, I thought I had done nothing wrong.
I stammered that I would like to tag out myself, and then he said ""Doesn't make a fukkin difference ye Culty"" I do not know what Culty means, but his tone didn't make it sound friendly.

I would not choose Irish rail, but there is no choice for my route, so I guess I'll just have to deal with what I guess is casual racism. If they need to check you ticket, just keep your head down and don't say anything to them, I guess they deal with a lot of abuse and they are not above fighting back.",Written 29 November 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,warrenpoint,"1,947 contributions",0,Nov 2017 • Couples,"Missed online special for returns from Newry to Dublin for rugby. We were staying over night.
Tickets were £60.00 return. Advised to go early as its very busy at least 30 minutes before.
Always well organised. Staff friendly. Takes stress out of driving. Stayed in Spencer hotel which was less than 10 minute walk. Great way to travel.",Written 19 November 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Vancouver, Canada",121 contributions,1,Nov 2017 • Solo,"A series of journeys have been undertaken including Sligo, Westport, Galway, Waterford, & Wexford; and short haul to Maynooth & Bray. A fabulous service, extremely well used, and delightful. Only the patrons who do not clean up after themselves are an irritant. Off I go on another romp. ",Written 13 November 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Pottsville, PA",55 contributions,0,Oct 2017 • Couples,"The Irish Rail, Enterprise,  is the ultimate way to travel. Travel while being pampered. Being provided a paper while awaiting breakfast, which was very good, created a truly enjoyable first rate train ride. This was my wife's first ever train ride and it was quite the first time trip from Dublin to Belfast.",Written 7 November 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Birmingham, AL",43 contributions,0,Oct 2017 • Couples,"During our recent trip to Ireland (our first), we used Irish Rail for round trip service from Dublin to Limerick and were very pleased with the journey. I pre-booked the tickets online and found that the pick up process at Heuston station was very simple. I would suggest that unless you are certain of the train times you want, book at least the semi-flex ticket. We had a day tour on the day of our return from Limerick and we arrived back in time to get to the station for an earlier train back to Dublin. Since I booked the semi-flex ticket, there were no extra fees or re-ticketing required. We used standard class tickets and found the trains to be very clean and comfortable. I also found the website easy to use in planning our trip. Our next trip to this wonderful country will certainly utilize the train even more.",Written 23 October 2017,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
